ctx_src,ctx_tgt,res_src,res_tgt,correctness,templated,engagement,understanding,sensibleness,politeness,iq
<speaker1>Oi. Como posso ajudar você hoje?,<speaker1>Hello How may I help you today?,"<speaker2>Olá, seguinte, como eu tenho comorbidade eu mandei um pedido para que minha conta fosse bloqueada. E nesse meio tempo troquei de cartão e tentaram cobrar e ficaram de fazer eu perder o crédito Eu não posso voltar a academia nem a esporte por recomendação médica preciso que minha conta mantenha-se bloqueada","<speaker2>Hello, next, as I have comorbidity I sent a request for my account to be blocked. And in the meantime I switched card and tried to charge and got to make me lose credit I can't go back to academia or sport on medical recommendation I need my account to stay locked",0,0,1,1,0,1,3
"<speaker2>Olá, seguinte, como eu tenho comorbidade eu mandei um pedido para que minha conta fosse bloqueada. E nesse meio tempo troquei de cartão e tentaram cobrar e ficaram de fazer eu perder o crédito Eu não posso voltar a academia nem a esporte por recomendação médica preciso que minha conta mantenha-se bloqueada","<speaker2>Hello, next, as I have comorbidity I sent a request for my account to be blocked. And in the meantime I switched card and tried to charge and got to make me lose credit I can't go back to academia or sport on medical recommendation I need my account to stay locked","<speaker2>O motivo pelo qual sua conta foi desativada é porque seu pagamento passado para a #PRS_ORG# não foi processado devido à recusa do cartão. Se atualizar o cartão de crédito da conta, poderemos processar a cobrança e fazer com que você volte a operar!",<speaker2>The reason your account was disabled is because your past payment to #PRS_ORG# was not processed due to the card being declined. If you update your credit card in your account we can process the charge and get you moving again!,2,1,0,0,0,1,3
"<speaker1>O motivo pelo qual sua conta foi desativada é porque seu pagamento passado para a #PRS_ORG# não foi processado devido à recusa do cartão. Se atualizar o cartão de crédito da conta, poderemos processar a cobrança e fazer com que você volte a operar!",<speaker1>The reason your account was disabled is because your past payment to #PRS_ORG# was not processed due to the card being declined. If you update your credit card in your account we can process the charge and get you moving again!,"<speaker2>OK, mas será feita a combrança? porque eu não posso ir na academia eu preciso que seja feito um bloqueio - eu não posso ir a lugares fechados por ordem médica i #NAME#, Obrigada por nos contatar sobre isso e peço desculpas por qualquer frustração aqui. Você deve ter recebido um e-mail de 29 de outubro notificando que a sua assinatura foi desativada em 5 de novembro. Peço desculpas se isso passou despercebido! Considerando as circunstâncias, consegui colocar a sua conta de volta numa pausa efetiva imediatamente para esse ciclo e reembolsar a cobrança recente da assinatura. Posso confirmar que um total de R$189 foi reembolsado ao seu método de pagamento no arquivo. Como nota amigável, os reembolsos processados através do seu método de pagamento podem ter um tempo de processamento mais longo. No entanto, você deve ver esse dinheiro de volta no seu extrato dentro de 3 meses. Obrigada pela sua paciência! Como a sua data do ciclo é o dia 5 de cada mês, também consegui colocar a sua conta numa pausa para o seu próximo ciclo a partir de 5 de dezembro. A sua assinatura será renovada novamente em 5 de janeiro de #NUMBER# no plano de 30 créditos por R$189/mês. Você pode fazer alterações na sua conta, a qualquer momento, diretamente através das suas Configurações da Conta. Espero que isso ajude e, por favor, me informe se tiver mais alguma dúvida. Atenciosamente, #NAME#. esse email que recebi quando expliquei minha situação","<speaker2>Ok, but will combrance be done? Because I can't go to the gym I need a lock to be made - I can't go to closed places By medical order I #NAME#, Thank you for contacting us about this and I apologize for any frustration here. You must have received an email from October 29 notifying you that your subscription was disabled on November 5. I apologize if this has gone unnoticed! Considering the circumstances, I managed to put your account back in an effective pause immediately for that cycle and refund the recent subscription charge. I can confirm that a total R$189 has been refunded to your payment method in the file. As a friendly note, refunds processed through your payment method may have a longer processing time. However, you should see that money back on your extract within 3 months. Thank you for your patience! Since your cycle date is day 5 of each month, I've also managed to put your account on a break for your next cycle starting on December 5. Its subscription will be renewed again on 5 January #NUMBER# in the plan of 30 credits per R$189/month. You can make changes to your account at any time directly through your Account Settings. I hope this will help and please let me know if you have any further questions. Sincerely, #NAME#. This email I received when I explained my situation",0,0,0,1,1,1,3
"<speaker2>OK, mas será feita a combrança? porque eu não posso ir na academia eu preciso que seja feito um bloqueio - eu não posso ir a lugares fechados por ordem médica i #NAME#, Obrigada por nos contatar sobre isso e peço desculpas por qualquer frustração aqui. Você deve ter recebido um e-mail de 29 de outubro notificando que a sua assinatura foi desativada em 5 de novembro. Peço desculpas se isso passou despercebido! Considerando as circunstâncias, consegui colocar a sua conta de volta numa pausa efetiva imediatamente para esse ciclo e reembolsar a cobrança recente da assinatura. Posso confirmar que um total de R$189 foi reembolsado ao seu método de pagamento no arquivo. Como nota amigável, os reembolsos processados através do seu método de pagamento podem ter um tempo de processamento mais longo. No entanto, você deve ver esse dinheiro de volta no seu extrato dentro de 3 meses. Obrigada pela sua paciência! Como a sua data do ciclo é o dia 5 de cada mês, também consegui colocar a sua conta numa pausa para o seu próximo ciclo a partir de 5 de dezembro. A sua assinatura será renovada novamente em 5 de janeiro de #NUMBER# no plano de 30 créditos por R$189/mês. Você pode fazer alterações na sua conta, a qualquer momento, diretamente através das suas Configurações da Conta. Espero que isso ajude e, por favor, me informe se tiver mais alguma dúvida. Atenciosamente, #NAME#. esse email que recebi quando expliquei minha situação","<speaker2>Ok, but will combrance be done? Because I can't go to the gym I need a lock to be made - I can't go to closed places By medical order I #NAME#, Thank you for contacting us about this and I apologize for any frustration here. You must have received an email from October 29 notifying you that your subscription was disabled on November 5. I apologize if this has gone unnoticed! Considering the circumstances, I managed to put your account back in an effective pause immediately for that cycle and refund the recent subscription charge. I can confirm that a total R$189 has been refunded to your payment method in the file. As a friendly note, refunds processed through your payment method may have a longer processing time. However, you should see that money back on your extract within 3 months. Thank you for your patience! Since your cycle date is day 5 of each month, I've also managed to put your account on a break for your next cycle starting on December 5. Its subscription will be renewed again on 5 January #NUMBER# in the plan of 30 credits per R$189/month. You can make changes to your account at any time directly through your Account Settings. I hope this will help and please let me know if you have any further questions. Sincerely, #NAME#. This email I received when I explained my situation","<speaker2>Sinto muito por isso, mas o sistema automaticamente ativou sua conta devido às exigências em sua área. Parece que você está ocupado agora, então vou fechar o chat. Se você tiver outras dúvidas ou quiser entrar em contato conosco novamente, acesse aqui: #URL# Tenha um ótimo dia!","<speaker2>I am really sorry for that but out system automaticallyactivated your acocunt  due to the demands in your area. It seems like you're busy right now, so I'm going to close out the chat. If you have any other questions or want to get back in contact with us, you can do so here: #URL# Have a great day!",1,0,0,1,1,1,1
<speaker2>Cobrança indevida Hello how are you?,<speaker2>Undue collection Hello How are you?,"<speaker2>Olá, bom dia!","<speaker2>Hi, good day!",2,1,1,1,1,1,5
"<speaker1>Olá, bom dia!","<speaker1>Hi, good day!",<speaker2>Olá! Apareceu um pagamento da sua empresa no meu cartão de crédito. Mas não mais cliente,<speaker2>Hello. There was a payment from your company on my credit card. But no more customer,2,0,1,1,1,1,5
<speaker2>Olá! Apareceu um pagamento da sua empresa no meu cartão de crédito. Mas não mais cliente,<speaker2>Hello. There was a payment from your company on my credit card. But no more customer,"<speaker2>Infelizmente, estou tendo problemas para encontrar uma assinatura ativa afiliada ao seu nome e endereço de e-mail. Poderia, por favor, confirmar algumas informações adicionais para que eu possa analisar isso mais a fundo: #NAME? - Últimos 4 dígitos do cartão registrado. #NAME? #NAME? - Cidade de adesão - Quaisquer outros endereços de e-mail que você possa ter usado durante a inscrição","<speaker2>Unfortunately, I'm having trouble finding an active subscription affiliated with your name and email address. Could you please confirm some additional information so I can look into this further: #NAME? - Last 4 digits of the card on file #NAME? #NAME? #NAME? #NAME?",2,0,1,1,1,1,4
"<speaker1>Infelizmente, estou tendo problemas para encontrar uma assinatura ativa afiliada ao seu nome e endereço de e-mail. Poderia, por favor, confirmar algumas informações adicionais para que eu possa analisar isso mais a fundo: #NAME? - Últimos 4 dígitos do cartão registrado. #NAME? #NAME? - Cidade de adesão - Quaisquer outros endereços de e-mail que você possa ter usado durante a inscrição","<speaker1>Unfortunately, I'm having trouble finding an active subscription affiliated with your name and email address. Could you please confirm some additional information so I can look into this further: #NAME? - Last 4 digits of the card on file #NAME? #NAME? #NAME? #NAME?",<speaker2>CPF #PHONENUMBER# telefone #PHONENUMBER#,<speaker2>Cpf #PHONENUMBER# Telephone #PHONENUMBER#,2,0,1,1,1,1,4
<speaker2>CPF #PHONENUMBER# telefone #PHONENUMBER#,<speaker2>Cpf #PHONENUMBER# Telephone #PHONENUMBER#,<speaker2>Que tal outro e-mail associado a nós? Quando você se inscrever? obrigado!,<speaker2>How about other e-mail associated with us? when you sign up? thanks!,2,0,1,1,1,1,4
<speaker1>Que tal outro e-mail associado a nós? Quando você se inscrever? obrigado!,<speaker1>How about other e-mail associated with us? when you sign up? thanks!,<speaker2>não lembro talvez tenha sido pelo #PRS_ORG# ou #EMAIL# #EMAIL# #EMAIL#,<speaker2>I do not remember Maybe it was by #PRS_ORG# Or #EMAIL# #EMAIL# #EMAIL#,2,0,1,1,1,1,4
<speaker2>não lembro talvez tenha sido pelo #PRS_ORG# ou #EMAIL# #EMAIL# #EMAIL#,<speaker2>I do not remember Maybe it was by #PRS_ORG# Or #EMAIL# #EMAIL# #EMAIL#,"<speaker2>Obrigado, deixe-me experimentar esses,) Um momento, por favor;) Obrigado. Sinto muito, mas com esses três e-mails, não consegui acessar nenhuma conta.",<speaker2>Thanks let me try those;) One moment please;) Thank you. I'm sorry but with those three e-mails I was not able to pull up any account.,2,0,1,1,1,1,3
"<speaker1>Obrigado, deixe-me experimentar esses,) Um momento, por favor;) Obrigado. Sinto muito, mas com esses três e-mails, não consegui acessar nenhuma conta.",<speaker1>Thanks let me try those;) One moment please;) Thank you. I'm sorry but with those three e-mails I was not able to pull up any account.,"<speaker2>certo, pelo cpf não consegue nada? cartão de crédito fina #NUMBER# mastercard","<speaker2>Right, by cpf you can't get anything? Fine credit card #NUMBER# mastercard",2,0,1,1,1,1,3
"<speaker2>certo, pelo cpf não consegue nada? cartão de crédito fina #NUMBER# mastercard","<speaker2>Right, by cpf you can't get anything? Fine credit card #NUMBER# mastercard","<speaker2>Desculpe, mas não posso acessar sua conta usando esses, você tem outro e-mail em mente?","<speaker2>Sorry but I can't pull up your account using those, do you have other e-mail in mind ?",2,0,1,1,1,1,3
"<speaker1>Desculpe, mas não posso acessar sua conta usando esses, você tem outro e-mail em mente?","<speaker1>Sorry but I can't pull up your account using those, do you have other e-mail in mind ?","<speaker2>não tenho posso cancelar o pagamento junto com o banco então? já te passei meu cpf, infelizmente não tenho outros emails talvez vocês tenham perdido meus contatos","<speaker2>I do not have Can I cancel the payment along with the bank then? I've passed you my cpf, unfortunately I don't have other emails Maybe you have lost my contacts",2,0,1,1,1,1,3
"<speaker2>não tenho posso cancelar o pagamento junto com o banco então? já te passei meu cpf, infelizmente não tenho outros emails talvez vocês tenham perdido meus contatos","<speaker2>I do not have Can I cancel the payment along with the bank then? I've passed you my cpf, unfortunately I don't have other emails Maybe you have lost my contacts","<speaker2>Agradeço seu esforço nisso, mas desculpe-me por não ter conseguido acessar sua conta até o momento.",<speaker2>I appreciate your effort on this but sorry I was not able to pull up your account by this time.,2,0,1,1,1,1,3
"<speaker1>Agradeço seu esforço nisso, mas desculpe-me por não ter conseguido acessar sua conta até o momento.",<speaker1>I appreciate your effort on this but sorry I was not able to pull up your account by this time.,<speaker2>#NAME# Brazil,<speaker2>#NAME# Brazil,2,0,1,1,1,1,3
<speaker2>#NAME# Brazil,<speaker2>#NAME# Brazil,<speaker2>Que tal seu número de contato?,<speaker2>How about your contact number?,2,0,1,1,1,1,3
<speaker1>Que tal seu número de contato?,<speaker1>How about your contact number?,<speaker2>#PHONENUMBER#,<speaker2>#PHONENUMBER#,2,0,1,1,1,1,3
<speaker2>#PHONENUMBER#,<speaker2>#PHONENUMBER#,"<speaker2>Deixe-me experimentar esse! obrigado! Sinto muito, mas ainda não consigo acessar nenhuma conta usando esse número de contato.",<speaker2>Let me try that one! thanks! I'm so sorry but I still can't pull up any account using that contact number.,2,0,1,1,1,1,3
"<speaker1>Deixe-me experimentar esse! obrigado! Sinto muito, mas ainda não consigo acessar nenhuma conta usando esse número de contato.",<speaker1>Let me try that one! thanks! I'm so sorry but I still can't pull up any account using that contact number.,<speaker2>Mas o que eu faço então? tem um valor da #PRS_ORG# no meu cartão de crédito quero que sua empresa me mande um e-mail dizendo que não tenho vínculo com vcs e que o valor não é correto #EMAIL# Estou em horario de trabalho não posso ficar muito tempo aqui,<speaker2>But what do I do then? Have a value of #PRS_ORG# on my credit card I want your company to send me an email saying that I have no link with vcs and that the value is not correct #EMAIL# I'm on work schedule I can't stay too long here,1,0,1,1,1,1,2
